time,junctionId,approachId,travelTimeSec,freeFlowTravelTimeSec,delaySec,usualDelaySec,stops,queueLengthMeters,volumePerHour,isClosed,stopsHistogram
2025-04-17T03:27:00.975Z,6800743b11220d5a035da621,351295367,34,32,2,0,0.0,139.8,126,false,
2025-04-17T03:27:00.975Z,6800743b11220d5a035da621,-2123692267,54,58,0,0,0.0,0.0,0,false,
2025-04-17T03:27:00.975Z,6800743b11220d5a035da621,-126050620,84,84,0,12,0.0,0.0,0,false,
2025-04-17T03:27:00.975Z,6800743b11220d5a035da621,-169819262,44,44,0,0,0.0,0.0,0,false,
2025-04-17T03:27:00.975Z,6800743b11220d5a035da621,854840755,14,12,2,3,0.0,0.0,1315,false,"0,57"
2025-04-17T03:27:00.975Z,6800743b11220d5a035da621,-905435322,85,86,0,13,0.0,0.0,0,false,
2025-04-17T03:27:00.975Z,6800743b11220d5a035da621,-724941245,29,27,2,19,0.0,0.0,0,false,
2025-04-17T03:27:00.975Z,6800743b11220d5a035da621,-1376818555,20,16,4,0,1.5,109.24,32,false,"0,1;3,1"
2025-04-17T03:27:00.975Z,6800743b11220d5a035da621,1708293353,18,16,2,2,0.0,0.0,95,false,"0,3"
2025-04-17T03:27:00.975Z,6800743b11220d5a035da621,1397009346,35,34,1,0,0.0,0.0,869,false,
2025-04-17T03:27:00.975Z,6800743b11220d5a035da621,-2019703491,31,30,1,1,0.0,0.0,869,false,
2025-04-17T03:27:00.975Z,6800743b11220d5a035da621,984027626,13,12,1,0,0.0,0.0,856,false,"0,33"
2025-04-17T03:27:00.975Z,6800743b11220d5a035da621,885468416,42,41,1,0,0.0,0.0,869,false,
2025-04-17T03:28:00.549Z,6800743b11220d5a035da621,-1042895084,18,18,0,0,0.0,0.0,360,false,"0,13"
2025-04-17T03:28:00.549Z,6800743b11220d5a035da621,1877147528,37,43,0,0,0.0,0.0,0,false,
2025-04-17T03:28:00.549Z,6800743b11220d5a035da621,60241608,31,27,4,6,0.0,0.0,0,false,
2025-04-17T03:28:00.549Z,6800743b11220d5a035da621,-255119202,41,32,9,2,0.0,0.0,38,false,"0,3"
2025-04-17T03:28:00.549Z,6800743b11220d5a035da621,-1071645679,33,34,0,1,0.0,0.0,0,false,
2025-04-17T03:28:00.549Z,6800743b11220d5a035da621,1537688405,56,58,0,0,0.0,0.0,0,false,
2025-04-17T03:28:00.549Z,6800743b11220d5a035da621,880992861,36,36,0,9,0.0,0.0,0,false,
2025-04-17T03:28:00.549Z,6800743b11220d5a035da621,145270064,21,15,6,3,0.04,434.11,1228,false,"0,45;2,1"
2025-04-17T03:28:00.549Z,6800743b11220d5a035da621,-1597492084,41,41,0,28,0.0,0.0,0,false,
2025-04-17T03:28:00.549Z,6800743b11220d5a035da621,1274388454,84,91,0,0,0.0,0.0,0,false,
2025-04-17T03:28:00.549Z,6800743b11220d5a035da621,-1730567285,73,80,0,0,0.0,0.0,0,false,
2025-04-17T03:28:00.549Z,6800743b11220d5a035da621,-1187825648,17,17,0,0,0.0,167.13,46,false,"0,3"
2025-04-17T03:28:00.549Z,6800743b11220d5a035da621,-121630253,17,12,5,4,0.01,148.57,2103,false,"0,89;1,1"
2025-04-17T03:28:00.549Z,6800743b11220d5a035da621,-907774907,48,40,8,5,1.36,178.57,465,false,"0,3;1,5;2,5;4,1"
2025-04-17T03:28:00.549Z,6800743b11220d5a035da621,1538642990,30,30,0,0,0.33,115.13,75,false,"0,2;1,1"
2025-04-17T03:28:00.549Z,6800743b11220d5a035da621,-1602284578,26,24,2,1,0.25,0.0,140,false,"0,3;1,1"
2025-04-17T03:28:00.549Z,6800743b11220d5a035da621,351295367,34,32,2,0,0.0,155.75,140,false,
2025-04-17T03:28:00.549Z,6800743b11220d5a035da621,-2123692267,54,58,0,0,0.0,0.0,0,false,
2025-04-17T03:28:00.549Z,6800743b11220d5a035da621,-126050620,84,84,0,12,0.0,0.0,0,false,
2025-04-17T03:28:00.549Z,6800743b11220d5a035da621,-169819262,44,44,0,0,0.0,0.0,0,false,
2025-04-17T03:28:00.549Z,6800743b11220d5a035da621,854840755,16,12,4,3,0.0,0.0,1436,false,"0,53"
2025-04-17T03:28:00.549Z,6800743b11220d5a035da621,-905435322,85,86,0,13,0.0,0.0,0,false,
2025-04-17T03:28:00.549Z,6800743b11220d5a035da621,-724941245,29,27,2,20,0.0,0.0,0,false,
2025-04-17T03:28:00.549Z,6800743b11220d5a035da621,-1376818555,20,16,4,1,1.5,121.7,58,false,"0,1;3,1"
2025-04-17T03:28:00.549Z,6800743b11220d5a035da621,1708293353,18,16,2,2,0.0,0.0,106,false,"0,3"
2025-04-17T03:28:00.549Z,6800743b11220d5a035da621,1397009346,35,34,1,0,0.0,0.0,888,false,
2025-04-17T03:28:00.549Z,6800743b11220d5a035da621,-2019703491,31,30,1,1,0.0,0.0,888,false,
2025-04-17T03:28:00.549Z,6800743b11220d5a035da621,984027626,13,12,1,0,0.0,0.0,883,false,"0,33"
2025-04-17T03:28:00.549Z,6800743b11220d5a035da621,885468416,42,41,1,0,0.0,0.0,888,false,
2025-04-17T03:29:00.883Z,6800743b11220d5a035da621,-1042895084,18,18,0,0,0.0,0.0,355,false,"0,14"
2025-04-17T03:29:00.883Z,6800743b11220d5a035da621,1877147528,37,43,0,0,0.0,0.0,0,false,
2025-04-17T03:29:00.883Z,6800743b11220d5a035da621,60241608,31,27,4,6,0.0,0.0,0,false,
2025-04-17T03:29:00.883Z,6800743b11220d5a035da621,-255119202,33,32,1,2,0.0,0.0,38,false,"0,2"
2025-04-17T03:29:00.883Z,6800743b11220d5a035da621,-1071645679,33,34,0,1,0.0,0.0,0,false,
2025-04-17T03:29:00.883Z,6800743b11220d5a035da621,1537688405,56,58,0,0,0.0,0.0,0,false,
2025-04-17T03:29:00.883Z,6800743b11220d5a035da621,880992861,36,36,0,9,0.0,0.0,0,false,
2025-04-17T03:29:00.883Z,6800743b11220d5a035da621,145270064,22,15,7,4,0.04,451.87,1195,false,"0,47;2,1"
2025-04-17T03:29:00.883Z,6800743b11220d5a035da621,-1597492084,41,41,0,28,0.0,0.0,0,false,
2025-04-17T03:29:00.883Z,6800743b11220d5a035da621,1274388454,84,91,0,0,0.0,0.0,0,false,
2025-04-17T03:29:00.883Z,6800743b11220d5a035da621,-1730567285,73,80,0,0,0.0,0.0,0,false,
2025-04-17T03:29:00.883Z,6800743b11220d5a035da621,-1187825648,19,17,2,0,0.0,173.97,41,false,"0,3"
